# Logger type: CL3000
# HW rev: 7.2x
# FW rev: 5.78 / 4.00.03
# Logger ID: id001ezk
# Session No.: 15
# Split No.: 1
# Time: 20190425T172921
# Value separator: " "
# Time format: 5
# Time separator: ":"
# Time separator ms: ":"
# Date separator: "/"
# Time and date separator: " "
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp Type ID Data
04/25 17:29:21:478 1 d00022 0000000000000000
04/25 17:29:21:480 1 42406c 408800006000c00f
04/25 17:29:21:480 1 1000020 00000001cc04c000
04/25 17:29:21:482 1 62401e 02144440fa156400
04/25 17:29:21:482 1 80401e 06000368002b7a00
04/25 17:29:21:483 1 a20016 0319840000636300
04/25 17:29:21:483 1 f00006 000032000000e000
04/25 17:29:21:483 1 1400006 0000000003f30215
04/25 17:29:21:484 1 11600002 e614636800000000
04/25 17:29:21:484 1 11800002 0000120900000000
04/25 17:29:21:488 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:488 1 d00022 0000000000000000
04/25 17:29:21:489 1 224024 1c48440013ff0000
04/25 17:29:21:490 1 e24026 000160408f000000
04/25 17:29:21:490 1 42406c 80aa00006000c00f
04/25 17:29:21:490 1 1000020 00000001cc04c000
04/25 17:29:21:491 1 10004002 80000000c000c000
04/25 17:29:21:492 1 62401e 02144440fa156400
04/25 17:29:21:493 1 80401e 1e000368002b7a00
04/25 17:29:21:493 1 a20016 0019840000636300
04/25 17:29:21:493 1 f00006 000032000000e000
04/25 17:29:21:493 1 1400006 0000000003f30215
04/25 17:29:21:494 1 1600012 000005076e5dc81a
04/25 17:29:21:498 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:498 1 d00022 0000000000000000
04/25 17:29:21:500 1 42406c c0c840006000c00f
04/25 17:29:21:500 1 1000020 00000001cc04c000
04/25 17:29:21:500 1 10400020 402947679b370db5
04/25 17:29:21:501 1 11220028 23600f3c0100342e
04/25 17:29:21:502 1 62401e 02144440fa156400
04/25 17:29:21:502 1 80401e 06000368002b7a00
04/25 17:29:21:503 1 a20016 0519840000636400
04/25 17:29:21:503 1 f00006 000032000000e000
04/25 17:29:21:503 1 1400006 0000000003f30215
04/25 17:29:21:503 1 11c00002 0000000040000000
04/25 17:29:21:504 1 224024 1848440013ff0000
04/25 17:29:21:504 1 e24026 000160408f000000
04/25 17:29:21:504 1 10004002 80000000c000c000
04/25 17:29:21:505 1 10800006 0080006f00000100
04/25 17:29:21:508 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:508 1 d00022 0000000000000000
04/25 17:29:21:510 1 42406c 00a800006000c00f
04/25 17:29:21:510 1 1000020 00000001cc04c000
04/25 17:29:21:512 1 62401e 02144440fa156400
04/25 17:29:21:512 1 80401e 1e008368002a7a00
04/25 17:29:21:513 1 a20016 0019840000636400
04/25 17:29:21:513 1 f00006 000032000000e000
04/25 17:29:21:513 1 1400006 0000000003f30215
04/25 17:29:21:513 1 1600012 400005076e5dc81a
04/25 17:29:21:514 1 10c00002 0000002000000000
04/25 17:29:21:518 1 224024 1c48440013ff0000
04/25 17:29:21:518 1 e24026 0001e0408f000000
04/25 17:29:21:518 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:518 1 d00022 0000000000000000
04/25 17:29:21:519 1 10004002 80000000c000c000
04/25 17:29:21:519 1 10e24000 0000000000000000
04/25 17:29:21:519 1 11420006 0000000f0000c000
04/25 17:29:21:520 1 42406c 408800006000c00f
04/25 17:29:21:520 1 1000020 00000001cc04c000
04/25 17:29:21:520 1 11100024 000000147e378000
04/25 17:29:21:522 1 62401e 02144440fa156400
04/25 17:29:21:522 1 80401e 06000366002a7a00
04/25 17:29:21:522 1 a20016 0119840000636400
04/25 17:29:21:523 1 f00006 000032000000e000
04/25 17:29:21:523 1 1400006 0000000003f30215
04/25 17:29:21:528 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:528 1 d00022 0000000000000000
04/25 17:29:21:530 1 42406c 80a800006000c00f
04/25 17:29:21:530 1 1000020 00000001cc04c000
04/25 17:29:21:530 1 10400020 802947679b370db5
04/25 17:29:21:532 1 224024 1848440013ff0000
04/25 17:29:21:532 1 62401e 02144440fa156400
04/25 17:29:21:532 1 80401e 1e000366002a7a00
04/25 17:29:21:532 1 a20016 0019840000636400
04/25 17:29:21:533 1 e24026 000160408f000000
04/25 17:29:21:533 1 f00006 000032000000e000
04/25 17:29:21:533 1 1400006 0000000003f30215
04/25 17:29:21:534 1 1600012 800005076e5dc81a
04/25 17:29:21:534 1 10004002 80000000c000c000
04/25 17:29:21:538 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:538 1 d00022 0000000000000000
04/25 17:29:21:539 1 11000022 01bbcc000055034a
